id	train_id	route_id	date
1	1	1	2016-01-03
2	1	2	2016-01-04
3	1	3	2016-01-05
4	1	4	2016-01-06
5	2	2	2016-01-03
6	2	3	2016-01-04
7	2	4	2016-01-05
8	2	5	2016-01-06
9	3	3	2016-01-03
10	3	5	2016-01-04
11	3	5	2016-01-05
12	3	6	2016-01-06
13	4	4	2016-01-04
14	4	5	2016-01-04
15	4	6	2016-01-05
16	4	7	2016-01-06
17	5	2	2016-01-03
18	5	1	2016-01-05
19	5	3	2016-01-05
20	5	1	2016-03-06
21	6	3	2016-01-03
22	6	3	2016-01-04
23	6	1	2016-01-05
24	6	4	2016-01-06
25	1	5	2016-01-03
26	6	1	2016-01-04
27	3	3	2016-01-05
28	4	6	2016-01-06
29	3	4	2016-01-03
