id	price	class	journey_id
1	200	2	24
2	76	1	12
3	102	2	6
4	126	2	11
5	80	1	17
6	74	1	5
7	200	2	5
8	66	1	17
9	59	1	22
10	134	2	11
11	60	1	6
12	89	1	14
13	71	1	3
14	99	1	7
15	166	2	3
16	154	2	6
17	76	1	23
18	106	2	23
19	97	1	7
20	124	2	19
21	146	2	10
22	50	1	8
23	62	1	1
24	90	1	23
25	88	1	4
26	128	2	8
27	75	1	15
28	140	2	4
29	67	1	9
30	68	1	20
31	192	2	15
32	83	1	9
33	200	2	8
34	200	2	21
35	52	1	19
36	144	2	24
37	99	1	2
38	98	1	24
39	178	2	17
40	164	2	23
41	190	2	11
42	76	1	22
43	100	2	12
44	65	1	13
45	130	2	5
46	67	1	14
47	160	2	19
48	166	2	3
49	172	2	13
50	150	2	1
51	188	2	22
52	126	2	23
53	70	1	8
54	52	1	23
55	198	2	22
56	172	2	12
57	81	1	6
58	126	2	12
59	116	2	15
60	99	1	14
61	62	1	8
62	168	2	5
63	66	1	23
64	70	1	16
65	196	2	2
66	180	2	18
67	93	1	16
68	83	1	3
69	128	2	17
70	71	1	8
71	69	1	1
72	56	1	3
73	69	1	6
74	162	2	13
75	198	2	16
76	51	1	10
77	192	2	2
78	51	1	10
79	51	1	13
80	126	2	15
81	67	1	10
82	91	1	10
83	55	1	14
84	71	1	18
85	116	2	8
86	164	2	11
87	200	2	5
88	78	1	14
89	58	1	23
90	98	1	20
91	178	2	4
92	132	2	7
93	83	1	24
94	192	2	2
95	90	1	22
96	84	1	2
97	61	1	19
98	66	1	14
99	196	2	4
