id	game_id	price	date
1	7	15.99	2016-03-07
2	12	13.99	2016-08-13
3	6	11.99	2016-01-21
4	11	7.99	2016-10-21
5	4	12.99	2016-05-03
6	2	1.99	2016-07-08
7	2	5.99	2016-03-29
8	10	18.99	2016-01-05
9	8	3.99	2016-07-18
10	4	7.99	2016-06-04
11	12	14.99	2016-10-16
12	10	15.99	2016-08-23
13	5	13.99	2016-09-20
14	9	14.99	2016-07-17
15	10	10.99	2016-06-07
16	2	1.99	2016-06-09
17	8	8.99	2016-04-13
18	1	6.99	2016-01-12
19	2	3.99	2016-06-18
20	6	19.99	2016-08-07
21	6	7.99	2016-04-06
22	12	5.99	2016-07-24
23	2	10.99	2016-08-05
24	12	16.99	2016-07-21
25	9	4.99	2016-10-05
26	8	11.99	2016-02-27
27	12	15.99	2016-05-26
28	3	17.99	2016-01-30
29	9	7.99	2016-01-21
30	8	19.99	2016-06-28
31	2	7.99	2016-07-09
32	9	1.99	2016-10-14
33	5	15.99	2016-07-04
34	4	19.99	2016-01-27
35	5	14.99	2016-04-06
36	4	13.99	2016-03-27
37	5	12.99	2016-07-19
38	12	7.99	2016-06-20
39	11	4.99	2016-01-02
40	1	8.99	2016-08-17
41	4	18.99	2016-06-02
42	8	7.99	2016-04-20
43	5	14.99	2016-06-05
44	2	7.99	2016-04-08
45	8	17.99	2016-06-03
46	6	16.99	2016-10-10
47	3	13.99	2016-10-04
48	1	9.99	2016-09-29
49	3	9.99	2016-03-25
50	7	13.99	2016-02-01
51	4	15.99	2016-08-29
52	3	9.99	2016-03-13
53	6	14.99	2016-04-29
54	12	6.99	2016-05-09
55	9	14.99	2016-06-07
56	8	18.99	2016-09-24
57	6	8.99	2016-10-30
58	11	4.99	2016-05-11
59	2	8.99	2016-08-22
60	9	2.99	2016-03-24
