id	product_id	order_id	quantity
1	1	9	7
2	1	6	15
3	7	2	1
4	1	4	24
5	1	5	16
6	3	8	7
7	5	12	5
8	2	12	1
9	5	10	20
10	2	8	14
11	4	6	28
12	6	3	15
13	6	6	16
14	4	1	8
15	2	8	13
16	5	4	27
17	2	8	30
18	7	6	29
19	1	10	6
20	6	5	21
21	1	11	9
22	6	7	4
23	5	8	27
24	7	1	25
25	4	3	16
26	5	5	4
27	4	6	1
28	2	6	5
29	5	4	29
30	4	11	21
31	4	10	18
32	6	1	5
33	4	5	5
34	3	12	19
35	6	5	29
36	5	9	21
37	6	7	25
38	4	4	3
39	6	9	21
40	3	4	15
41	6	12	17
42	2	3	18
43	2	7	30
44	5	5	2
45	6	3	26
46	3	3	13
47	2	8	29
48	7	11	26
49	3	8	12
50	3	6	4
