price	day
33.03	2016-06-01
43.84	2016-06-02
37.25	2016-06-03
50.16	2016-06-04
26.63	2016-06-05
47.36	2016-06-06
32.02	2016-06-07
28.16	2016-06-08
38.12	2016-06-09
48.01	2016-06-10
27.56	2016-06-11
34.67	2016-06-12
37.09	2016-06-13
31.68	2016-06-14
22.61	2016-06-15
30.03	2016-06-16
22.13	2016-06-17
42.17	2016-06-18
21.81	2016-06-19
28.69	2016-06-20
34.72	2016-06-21
49.44	2016-06-22
25.82	2016-06-23
45.56	2016-06-24
48.21	2016-06-25
21.54	2016-06-26
37.76	2016-06-27
32.50	2016-06-28
26.66	2016-06-29
49.70	2016-06-30
