website_id	day	users	impressions	clicks	revenue
1		2016-05-01	36169	108507	237	66.34
1		2016-05-02	29580	295800	793	214.12
1		2016-05-03	30907	463605	1545	401.79
1		2016-05-04	19154	57462	160	38.31
1		2016-05-05	10897	163455	343	99.58
1		2016-05-06	24602	369030	804	184.92
1		2016-05-07	19882	139174	348	76.55
1		2016-05-08	26932	296252	782	117.25
1		2016-05-09	39275	117825	342	68.30
1		2016-05-10	28900	317900	1029	236.62
1		2016-05-11	23714	142284	423	84.69
1		2016-05-12	19006	171054	378	101.95
1		2016-05-13	24791	198328	526	89.43
1		2016-05-14	27617	165702	407	85.50
1		2016-05-15	8563	59941	135	33.75
1		2016-05-16	33679	303111	609	121.73
1		2016-05-17	25123	175861	383	57.47
1		2016-05-18	32233	225631	594	118.75
1		2016-05-19	33504	335040	857	197.08
1		2016-05-20	10830	86640	229	52.58
1		2016-05-21	13904	152944	380	75.90
1		2016-05-22	35180	386980	992	168.68
1		2016-05-23	18911	283665	773	154.59
1		2016-05-24	19938	259194	553	121.58
1		2016-05-25	14796	192348	416	66.61
1		2016-05-26	20953	146671	298	59.50
1	2016-05-27	14756	191828	564	84.63
1	2016-05-28	20397	203970	645	135.55
1	2016-05-29	30382	182292	446	71.31
1	2016-05-30	39977	519701	1382	262.61
1	2016-05-31	34817	382987	796	230.91
2	2016-05-01	7058	28232	106	30.78
2	2016-05-02	7716	46296	132	21.16
2	2016-05-03	6877	55016	144	34.66
2	2016-05-04	9498	47490	145	33.40
2	2016-05-05	8350	41750	128	38.54
2	2016-05-06	3508	28064	83	14.07
2	2016-05-07	5097	45873	202	60.63
2	2016-05-08	5491	10982	54	8.11
2	2016-05-09	3350	30150	78	17.23
2	2016-05-10	9669	48345	204	44.88
2	2016-05-11	8929	35716	149	29.76
2	2016-05-12	5758	17274	51	9.20
2	2016-05-13	6342	63420	202	48.47
2	2016-05-14	6219	49752	143	38.71
2	2016-05-15	5881	35286	126	36.42
2	2016-05-16	4959	19836	64	18.50
2	2016-05-17	9966	109626	359	100.64
2	2016-05-18	4182	41820	116	20.79
2	2016-05-19	3538	38918	193	40.46
2	2016-05-20	3584	17920	47	9.77
2	2016-05-21	5473	32838	124	28.50
2	2016-05-22	9484	66388	227	54.38
2	2016-05-23	5971	29855	119	30.93
2	2016-05-24	8085	32340	139	20.82
2	2016-05-25	3970	19850	78	20.32
2	2016-05-26	8805	79245	325	48.72
2	2016-05-27	9563	19126	70	10.51
2	2016-05-28	6682	80184	297	47.52
2	2016-05-29	6701	80412	228	36.45
2	2016-05-30	9558	105138	300	60.08
2	2016-05-31	5548	44384	178	53.26
3	2016-05-01	37	148	1	0.10
3	2016-05-02	73	292	1	0.21
3	2016-05-03	95	285	1	0.30
3	2016-05-04	32	224	1	0.15
3	2016-05-05	56	392	2	0.37
3	2016-05-06	100	1000	3	0.70
3	2016-05-07	167	668	2	0.39
3	2016-05-08	246	1722	8	1.59
3	2016-05-09	108	648	2	0.31
3	2016-05-10	158	1264	6	1.81
3	2016-05-11	216	2160	8	2.18
3	2016-05-12	187	1309	4	0.94
3	2016-05-13	254	1270	4	0.90
3	2016-05-14	107	535	3	0.60
3	2016-05-15	270	3240	9	1.65
3	2016-05-16	323	2584	11	2.41
3	2016-05-17	316	1264	4	0.83
3	2016-05-18	307	2763	8	1.81
3	2016-05-19	361	2527	11	3.07
3	2016-05-20	357	2856	9	2.54
3	2016-05-21	484	1452	7	1.09
3	2016-05-22	324	3888	12	2.58
3	2016-05-23	570	6840	19	4.24
3	2016-05-24	1664	8320	36	5.36
3	2016-05-25	2315	11575	30	5.10
3	2016-05-26	3586	28688	72	16.54
3	2016-05-27	1226	6130	20	3.00
3	2016-05-28	5998	29990	117	21.09
3	2016-05-29	7287	58296	166	39.86
3	2016-05-30	7785	23355	91	19.16
3	2016-05-31	1545	16995	55	9.96
