id	category_id	asking_price	final_price	views	participants	country	ended
1	1		190.07	219.66	93	16	Spain	2017-01-05
2	4	34.70	54.70	187	31	Spain	2017-01-05
3	5	124.85	155.95	237	59	Spain	2017-01-05
4	3	141.42	205.73	289	58	Spain	2017-01-06
5	2	31.11	66.45	165	83	Spain	2017-01-09
6	3	106.18	125.07	27	3	Spain	2017-01-06
7	2	124.83	150.93	266	53	Spain	2017-01-06
8	1	151.71	164.54	158	53	Spain	2017-01-08
9	4	51.44	87.02	235	59	France	2017-01-05
10	2	118.97	178.21	191	38	France	2017-01-05
11	5	38.50	69.61	44	7	France	2017-01-06
12	4	20.87	35.57	298	37	France	2017-01-08
13	2	56.45	112.42	267	45	Germany	2017-01-05
14	3	189.20	242.16	234	33	Germany	2017-01-06
15	2	43.15	88.01	92	12	Germany	2017-01-06
16	5	158.92	179.18	17	2	Germany	2017-01-06
17	1	64.55	129.46	155	78	UK	2017-01-05
18	4	196.07	237.86	63	21	UK	2017-01-05
19	2	171.26	190.57	194	39	UK	2017-01-06
20	3	157.81	206.63	218	31	Italy	2017-01-05
21	2	135.16	197.43	47	12	Italy	2017-01-07
22	4	172.98	197.07	297	42	Italy	2017-01-06
23	5	163.89	218.99	90	18	Italy	2017-01-09
24	3	115.76	137.49	136	19	Italy	2017-01-06
25	3	149.89	208.09	25	3	Italy	2017-01-07
