id	rental_date	rental_period	platform	customer_id	movie_id	payment_date	payment_amount
1	2016-04-09	1	desktop	2	4	2016-04-16	6
2	2016-04-05	1	mobile	6	3	2016-04-11	8
3	2016-03-25	1	tablet	4	2	2016-03-30	9
4	2016-02-09	1	desktop	5	1	2016-02-12	8
5	2016-03-15	1	mobile	4	3	2016-03-22	6
6	2016-04-11	1	tablet	5	5	2016-04-17	9
7	2016-01-07	1	desktop	5	5	2016-01-13	9
8	2016-04-09	1	mobile	6	3	2016-04-16	6
9	2016-04-27	1	tablet	2	1	2016-04-30	6
10	2016-03-21	3	desktop	5	4	2016-03-24	21
11	2016-02-10	3	mobile	5	4	2016-02-15	15
12	2016-03-20	3	tablet	7	4	2016-03-27	12
13	2016-04-13	3	desktop	2	1	2016-04-18	18
14	2016-03-08	3	desktop	7	2	2016-03-14	24
15	2016-02-20	7	mobile	4	2	2016-02-23	28
16	2016-04-21	7	mobile	1	5	2016-04-26	28
17	2016-03-26	7	mobile	1	5	2016-04-01	49
18	2016-04-10	7	tablet	3	1	2016-04-17	28
19	2016-01-06	7	desktop	1	5	2016-01-11	49
20	2016-01-12	7	desktop	5	3	2016-01-16	21
21	2016-04-03	7	desktop	5	4	2016-04-08	63
